Country Name,Country Code,"2016 [YR2016] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2016 [YR2016] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2016 [YR2016] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2016 [YR2016] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2017 [YR2017] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2017 [YR2017] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2017 [YR2017] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2017 [YR2017] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2018 [YR2018] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2018 [YR2018] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2018 [YR2018] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2018 [YR2018] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2019 [YR2019] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2019 [YR2019] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2019 [YR2019] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2019 [YR2019] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2020 [YR2020] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2020 [YR2020] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2020 [YR2020] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2020 [YR2020] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]"
Afghanistan,AFG,50313204900,721804877300,128000358200,314782645600,59431451400,716878224700,139785085500,334963546800,73053770000,730772552700,155265782800,320173863200,77765472600,720645980500,162794415800,376075658800,75024540800,686354408800,155925235600,396052331200
Burkina Faso,BFA,834384000000,3289555000000,1789345000000,1650155000000,798905145800,3492950317300,1882772572600,1648437449300,790580134600,3621342527400,1934795714500,1854363049000,820012303200,3925269453300,1978795409900,1885775353500,..,..,..,..
Burundi,BDI,157917737300,793140127700,261428960100,472337814000,..,797527665400,263258962800,473754827400,..,803449982000,269577256900,487967377500,..,811422814200,275238423300,503094340600,..,797124214900,280082784700,517182793300
Central African Republic,CAF,106393000000,319440000000,114125000000,211969000000,107487000000,338455000000,116109000000,218751000000,106505000000,353255000000,117877000000,226236000000,109700150000,363852650000,121413310000,233023080000,109965671400,365971354500,121707182300,230610503200
Chad,TCD,69884562500,2186337470500,723722629500,2235540900000,64020780000,1975314900000,711342000000,2305018000000,64404927000,1995934700000,715610300000,2397219000000,64984590000,2045720200000,722051000000,2507491174500,64855000000,1940040358400,720606905400,2567670859800
"Congo, Dem. Rep.",COD,1344870428800,4496361594400,4478982849600,1838031368800,1378148655200,4629812225600,4825497732800,1867631475900,1366482511800,4690729909400,5410179706000,1897024365700,1450008958300,4956358130900,5632379945000,1956662508500,1382389153500,4931625509000,5791635374200,1996652347300
Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,89246654000,575877193000,343923944000,544082090000,111250619000,619258964000,414676462000,580412346000,118839403000,671801469000,467506034000,600766448000,127986672000,747349439000,526204768000,623802026000,137601520000,786815131000,576905202000,648711837000
"Gambia, The",GMB,2734259500,26997335500,9423800500,11785258700,2519157800,30164904400,9089466600,11269163900,2488810500,33216983600,9273805600,11685136900,2488867700,35362540500,10599338600,11538525700,..,..,..,..
Guinea,GIN,5990474087774.37,25312226650058.3,15606816397943,9481428062394.4,6320063313025.71,26301763145667.6,19150632767916.5,11235295392003.1,6873528113481.46,27637142849786.2,21331434147210.6,11868300650045,7201870566600.95,29088887095053.7,22893281734942.2,12922636738449.2,7373521279230.49,28464194296171.1,27817133763361.4,13722586288452
Guinea-Bissau,GNB,55070000000,213580287800,62718000000,172743000000,56611000000,229031241400,70185000000,172214000000,55600000000,225875963700,70566454100,185214425100,..,233858763600,73500402600,195972234600,..,223822799700,72989405800,194439241800
"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,LBR,29512000,653000000,207000000,524000000,31000000,660000000,241000000,518000000,30504000,629836000,289200000,516964000,26507300,579814500,304298200,519171700,..,509670390,306252230,546859130
Madagascar,MDG,..,10096449439100,2982508186000,4730892015200,..,10559712156100,3155549931500,4792057988300,..,10811393370900,3411479713600,4967683754400,..,11242613726900,3704866969000,5156455737100,..,10796054337460,2940151983700,5190227094000
Malawi,MWI,718973322414.386,3227227317617.62,1134209052747.18,1426061141005.26,737836400000,3355628600000,1159159200000,1497363585000,787569260372.196,3510204976939.73,1242128010282.57,1501798972768.27,847814403722.535,3721994006708.33,1337385071869.53,1590375459076.5,..,3711432158374.84,1353433692731.97,1638086722848.8
Mali,MLI,380543538100,1867769885700,820534526400,1519810272000,403223475300,1965026178900,875932201400,1598124691600,418788985400,2058659903400,924472260100,1692097570700,417673552100,2166084695400,958631996200,1761212185400,413335235600,2187701185800,956945879500,1663644498700
Mozambique,MOZ,49663519500,292738550600,113718164600,142765621700,50953722700,297318932900,124624356300,148419020900,51875831400,305829355300,129826976300,153459033700,52610539400,314187768500,128783283200,155282785800,51954179015.6315,306733464752.485,120730118757.648,159313168959.525
Niger,NER,460513000000,2291125000000,1264861000000,2176191000000,493428089500,2383086113600,1350437177500,2293878970400,508984825600,2519569180100,1429651807600,2473016330600,543752584300,2684089786300,1553863514300,2556521288600,..,..,..,..
Rwanda,RWA,554649000000,3487064000000,1309652000000,1935363000000,590753000000,3683728000000,1329889000000,2027080000000,670944000000,4042556000000,1445965000000,2150992000000,746466000000,4376858000000,1685851000000,2259108000000,761529000000,4135700000000,1614398000000,2278497000000
Sierra Leone,SLE,182288399200,3178790461600,1021496984700,4471889699900,191424000000,3446630000000,869180000000,4714211000000,198127000000,3584458000000,847826000000,4898446000000,206978000000,3719034000000,939966000000,5172793000000,..,3238011600000,923045600000,5338703000000
Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sudan,SDN,..,17104122554.6411,5264994066.48702,10205574459.8901,..,19578738058.1298,5638338249.07608,8608317582.7365,..,18788799198.8193,7609977073.27871,8056016599.10949,..,13109212645.3383,7892758523.74794,7878634516.99309,..,12860666505.4686,8153535401.05057,7453273306.22076
Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,TGO,501244000000,1757491000000,772124000000,741969000000,520129000000,1835329000000,805888000000,799493000000,542815900000,1957261400000,837186590000,825444740000,577133090000,2045354710000,891950030000,841078500000,587180340000,2064049660000,939378420000,852157550000
